Stop Name,Line,Borough,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entry Allowed,Exit Allowed,Entrance Latitude,Entrance Longitude
Carroll St,6th Av - Culver,B,237,Carroll St,237,F21,F G,YES,YES,40.6808116,-73.9943493
Carroll St,6th Av - Culver,B,237,Carroll St,237,F21,F G,YES,YES,40.6809521,-73.994253
Smith-9 Sts,6th Av - Culver,B,238,Smith-9 Sts,238,F22,F G,YES,YES,40.6746146,-73.9972884
4 Av-9 St,6th Av - Culver,B,608,4 Av-9 St,239,F23,F G R,YES,YES,40.669953,-73.989442
4 Av-9 St,6th Av - Culver,B,608,4 Av-9 St,239,F23,F G R,YES,YES,40.6700448,-73.9892527
4 Av-9 St,6th Av - Culver,B,608,4 Av-9 St,239,F23,F G R,YES,YES,40.6698741,-73.9888912
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.6667886,-73.9818356
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.667112,-73.981716
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.666649,-73.981624
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.6670215,-73.9813425
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.665593,-73.979509
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.665502,-73.9792962
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.6660243,-73.9791546
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.665835,-73.979007
7 Av,6th Av - Culver,B,240,7 Av,240,F24,F G,YES,YES,40.6671112,-73.9815192
15 St-Prospect Park,6th Av - Culver,B,241,15 St-Prospect Park,241,F25,F G,YES,YES,40.6594527,-73.9799593
15 St-Prospect Park,6th Av - Culver,B,241,15 St-Prospect Park,241,F25,F G,YES,YES,40.6614242,-73.979806
15 St-Prospect Park,6th Av - Culver,B,241,15 St-Prospect Park,241,F25,F G,YES,YES,40.660198,-73.979787
15 St-Prospect Park,6th Av - Culver,B,241,15 St-Prospect Park,241,F25,F G,YES,YES,40.660705,-73.979522
15 St-Prospect Park,6th Av - Culver,B,241,15 St-Prospect Park,241,F25,F G,YES,YES,40.6613624,-73.9793129
15 St-Prospect Park,6th Av - Culver,B,241,15 St-Prospect Park,241,F25,F G,YES,YES,40.660763,-73.978992
Fort Hamilton Pkwy,6th Av - Culver,B,242,Fort Hamilton Pkwy,242,F26,F G,YES,YES,40.6518513,-73.9760848
Fort Hamilton Pkwy,6th Av - Culver,B,242,Fort Hamilton Pkwy,242,F26,F G,YES,YES,40.652665,-73.975901
Fort Hamilton Pkwy,6th Av - Culver,B,242,Fort Hamilton Pkwy,242,F26,F G,YES,YES,40.6498642,-73.9758157
Fort Hamilton Pkwy,6th Av - Culver,B,242,Fort Hamilton Pkwy,242,F26,F G,YES,YES,40.6516288,-73.9756084
Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,YES,YES,40.6449233,-73.9800183
Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,YES,YES,40.6430404,-73.9796519
Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,YES,YES,40.645042,-73.979573
Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,YES,YES,40.6425703,-73.9795636
Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,YES,YES,40.6431658,-73.9793426
Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,YES,YES,40.6427129,-73.9792618
Church Av,6th Av - Culver,B,243,Church Av,243,F27,F G,YES,YES,40.6433778,-73.9796861
Ditmas Av,6th Av - Culver,B,244,Ditmas Av,244,F29,F,YES,YES,40.6371339,-73.9784986
Ditmas Av,6th Av - Culver,B,244,Ditmas Av,244,F29,F,YES,YES,40.63546,-73.9782992
Ditmas Av,6th Av - Culver,B,244,Ditmas Av,244,F29,F,YES,YES,40.6371532,-73.9782413
Ditmas Av,6th Av - Culver,B,244,Ditmas Av,244,F29,F,YES,YES,40.635389,-73.977914
18 Av,6th Av - Culver,B,245,18 Av,245,F30,F,YES,YES,40.630531,-73.977251
18 Av,6th Av - Culver,B,245,18 Av,245,F30,F,YES,YES,40.630562,-73.976995
18 Av,6th Av - Culver,B,245,18 Av,245,F30,F,YES,YES,40.628674,-73.976892
18 Av,6th Av - Culver,B,245,18 Av,245,F30,F,YES,YES,40.628708,-73.976646
Avenue I,6th Av - Culver,B,246,Avenue I,246,F31,F,YES,YES,40.6261773,-73.9764106
Avenue I,6th Av - Culver,B,246,Avenue I,246,F31,F,YES,YES,40.6261971,-73.9761687
